Player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,Team,Role,Game
P.J. WashingtonP.J. Washington#25,40,6-13,1-5,4-4,2,5,7,1,0,1,1,3,+2,17,Dallas Mavericks,Starters,Game 2
Derrick Jones Jr.D. Jones Jr.#55,32,4-7,0-3,3-3,2,1,3,2,1,1,1,2,-5,11,Dallas Mavericks,Starters,Game 2
Daniel GaffordD. Gafford#21,23,6-9,0-0,1-4,2,7,9,0,0,1,0,0,0,13,Dallas Mavericks,Starters,Game 2
Kyrie IrvingK. Irving#11,41,7-18,0-3,2-2,0,2,2,6,0,0,2,4,-3,16,Dallas Mavericks,Starters,Game 2
Luka DoncicL. Doncic#77,42,12-21,4-9,4-8,0,11,11,11,4,0,8,1,-3,32,Dallas Mavericks,Starters,Game 2
Maxi KleberM. Kleber#42,16,0-4,0-2,0-0,0,2,2,0,0,0,0,4,+1,0,Dallas Mavericks,Bench,Game 2
Dereck Lively IID. Lively II#2,19,1-3,0-0,0-0,3,4,7,0,0,0,2,1,-15,2,Dallas Mavericks,Bench,Game 2
Josh GreenJ. Green#8,14,1-4,0-3,2-3,0,1,1,0,0,0,0,2,-10,4,Dallas Mavericks,Bench,Game 2
Dante ExumD. Exum#0,11,1-1,1-1,0-0,0,1,1,1,0,0,1,0,+4,3,Dallas Mavericks,Bench,Game 2
Jaden HardyJ. Hardy#1,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-6,0,Dallas Mavericks,Bench,Game 2
Markieff MorrisM. Morris#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2
Olivier-Maxence ProsperO. Prosper#18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2
Tim Hardaway Jr.T. Hardaway Jr.#10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2
Dwight PowellD. Powell#7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2
A.J. LawsonA.J. Lawson#9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2
Team Maverick Total,0,38-80,6-26,16-24,9,34,43,21,5,3,15,17,0,98,Dallas Mavericks,Bench,Game 2
Jayson TatumJ. Tatum#0,45,6-22,1-7,5-6,1,8,9,12,1,0,3,2,+6,18,Boston Celtics,Starters,Game 2
Al HorfordA. Horford#42,28,2-4,1-3,0-0,0,7,7,2,1,0,0,2,+1,5,Boston Celtics,Starters,Game 2
Jrue HolidayJ. Holiday#4,41,11-14,2-4,2-2,4,7,11,3,1,1,0,3,+6,26,Boston Celtics,Starters,Game 2
Derrick WhiteD. White#9,38,6-15,4-10,2-2,2,3,5,2,3,2,1,2,+8,18,Boston Celtics,Starters,Game 2
Jaylen BrownJ. Brown#7,42,8-15,1-5,4-4,2,2,4,7,3,0,6,3,-3,21,Boston Celtics,Starters,Game 2
Sam HauserS. Hauser#30,10,0-5,0-5,2-2,0,0,0,0,0,0,0,1,+1,2,Boston Celtics,Bench,Game 2
Kristaps PorzingisK. Porzingis#8,23,4-7,0-3,4-4,0,4,4,1,0,2,0,2,+12,12,Boston Celtics,Bench,Game 2
Payton PritchardP. Pritchard#11,12,1-2,1-2,0-0,1,0,1,2,1,0,0,0,+4,3,Boston Celtics,Bench,Game 2
Xavier TillmanX. Tillman#26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2
Oshae BrissettO. Brissett#12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2
Luke KornetL. Kornet#40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2
Neemias QuetaN. Queta#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2
Svi MykhailiukS. Mykhailiuk#50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2
Jaden SpringerJ. Springer#44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2
Jordan WalshJ. Walsh#27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 2
Team celtics Total,0,38-84,10-39,19-20,10,31,41,29,10,5,10,15,0,105,Boston Celtics,Bench,Game 2
