Player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,Team,Role,Game
P.J. WashingtonP.J. Washington#25,39,3-9,3-6,4-6,1,7,8,2,0,0,2,3,0,13,Dallas Mavericks,Starters,Game 3
Derrick Jones Jr.D. Jones Jr.#55,16,1-2,0-1,0-0,1,2,3,1,1,0,0,0,-6,2,Dallas Mavericks,Starters,Game 3
Daniel GaffordD. Gafford#21,16,3-3,0-0,0-0,1,2,3,1,0,1,0,2,-11,6,Dallas Mavericks,Starters,Game 3
Kyrie IrvingK. Irving#11,45,13-28,4-6,5-5,0,3,3,2,0,0,2,3,-3,35,Dallas Mavericks,Starters,Game 3
Luka DoncicL. Doncic#77,38,11-27,1-7,4-4,0,6,6,6,1,0,3,6,+9,27,Dallas Mavericks,Starters,Game 3
Maxi KleberM. Kleber#42,8,0-2,0-1,0-0,0,1,1,0,0,0,0,0,-13,0,Dallas Mavericks,Bench,Game 3
Tim Hardaway Jr.T. Hardaway Jr.#10,19,0-5,0-3,0-0,0,3,3,0,0,0,0,0,-16,0,Dallas Mavericks,Bench,Game 3
Dereck Lively IID. Lively II#2,30,5-6,0-0,1-1,3,10,13,1,2,0,0,0,+6,11,Dallas Mavericks,Bench,Game 3
Josh GreenJ. Green#8,22,1-2,1-1,0-0,1,2,3,2,1,0,0,2,+3,3,Dallas Mavericks,Bench,Game 3
Dante ExumD. Exum#0,3,1-1,0-0,0-0,0,0,0,0,0,0,0,1,-4,2,Dallas Mavericks,Bench,Game 3
Jaden HardyJ. Hardy#1,4,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0,0,Dallas Mavericks,Bench,Game 3
Markieff MorrisM. Morris#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 3
Olivier-Maxence ProsperO. Prosper#18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 3
Dwight PowellD. Powell#7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 3
A.J. LawsonA.J. Lawson#9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 3
Team Maverick Total,0,38-86,9-25,14-16,7,36,43,15,5,1,8,17,0,99,Dallas Mavericks,Bench,Game 3
Jayson TatumJ. Tatum#0,42,11-26,4-13,5-5,0,6,6,5,1,0,2,2,-4,31,Boston Celtics,Starters,Game 3
Al HorfordA. Horford#42,37,3-6,2-5,0-0,0,5,5,2,2,1,2,1,-2,8,Boston Celtics,Starters,Game 3
Jrue HolidayJ. Holiday#4,42,4-9,1-3,0-0,3,1,4,5,1,0,0,4,+1,9,Boston Celtics,Starters,Game 3
Derrick WhiteD. White#9,42,4-10,4-9,4-4,0,5,5,4,0,2,1,4,+3,16,Boston Celtics,Starters,Game 3
Jaylen BrownJ. Brown#7,41,12-22,2-9,4-5,1,7,8,8,0,1,3,3,+13,30,Boston Celtics,Starters,Game 3
Xavier TillmanX. Tillman#26,11,1-1,1-1,0-0,1,3,4,0,0,2,1,2,+9,3,Boston Celtics,Bench,Game 3
Sam HauserS. Hauser#30,14,3-4,3-4,0-0,1,2,3,1,0,0,0,1,+16,9,Boston Celtics,Bench,Game 3
Payton PritchardP. Pritchard#11,11,0-4,0-2,0-0,0,1,1,1,0,0,0,2,-1,0,Boston Celtics,Bench,Game 3
Oshae BrissettO. Brissett#12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3
Luke KornetL. Kornet#40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3
Neemias QuetaN. Queta#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3
Svi MykhailiukS. Mykhailiuk#50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3
Jaden SpringerJ. Springer#44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3
Jordan WalshJ. Walsh#27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 3
Team Celtics Total,0,38-82,17-46,13-14,6,30,36,26,4,6,9,19,0,106,Boston Celtics,Bench,Game 3
