Player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,Team,Role,Game
P.J. WashingtonP.J. Washington#25,14,2-4,2-3,0-0,0,2,2,0,0,0,2,4,11,6,Dallas Mavericks,Starters,Game 4
Derrick Jones Jr.D. Jones Jr.#55,17,2-4,1-2,0-0,0,2,2,0,0,1,0,3,16,5,Dallas Mavericks,Starters,Game 4
Daniel GaffordD. Gafford#21,10,1-2,0-0,5-6,1,3,4,0,0,1,1,1,12,7,Dallas Mavericks,Starters,Game 4
Kyrie IrvingK. Irving#11,31,10-18,1-6,0-0,1,3,4,6,0,0,1,1,28,21,Dallas Mavericks,Starters,Game 4
Luka DoncicL. Doncic#77,33,12-26,0-8,5-7,0,5,5,5,3,0,1,3,30,29,Dallas Mavericks,Starters,Game 4
Markieff MorrisM. Morris#88,12,1-5,1-3,0-0,0,4,4,0,0,0,1,1,6,3,Dallas Mavericks,Bench,Game 4
Maxi KleberM. Kleber#42,23,1-2,1-1,2-2,0,1,1,1,1,0,0,0,25,5,Dallas Mavericks,Bench,Game 4
Olivier-Maxence ProsperO. Prosper#18,5,0-2,0-0,0-0,0,2,2,1,0,0,0,0,-7,0,Dallas Mavericks,Bench,Game 4
Tim Hardaway Jr.T. Hardaway Jr.#10,12,5-7,5-7,0-0,0,3,3,1,0,0,0,0,6,15,Dallas Mavericks,Bench,Game 4
Dwight PowellD. Powell#7,8,0-0,0-0,0-0,1,2,3,2,0,0,1,1,10,0,Dallas Mavericks,Bench,Game 4
Dereck Lively IID. Lively II#2,22,4-5,1-1,2-4,7,5,12,0,1,0,0,0,20,11,Dallas Mavericks,Bench,Game 4
Josh GreenJ. Green#8,18,1-2,0-0,1-3,2,3,5,1,1,0,0,0,16,3,Dallas Mavericks,Bench,Game 4
Dante ExumD. Exum#0,14,4-7,2-4,0-0,0,2,2,0,1,0,1,1,15,10,Dallas Mavericks,Bench,Game 4
A.J. LawsonA.J. Lawson#9,8,1-2,0-0,0-0,0,0,0,0,0,0,0,0,-1,2,Dallas Mavericks,Bench,Game 4
Jaden HardyJ. Hardy#1,13,2-5,1-2,0-0,1,2,3,4,0,0,0,2,3,5,Dallas Mavericks,Bench,Game 4
Team Maverick Total,0,46-91,15-37,15-22,13,39,52,21,7,2,8,17,0,122,Dallas Mavericks,Bench,Game 4
Jayson TatumJ. Tatum#0,27,4-10,1-4,6-6,0,5,5,3,1,2,3,4,-33,15,Boston Celtics,Starters,Game 4
Al HorfordA. Horford#42,23,1-1,1-1,0-0,1,2,3,4,1,0,1,3,-18,3,Boston Celtics,Starters,Game 4
Jrue HolidayJ. Holiday#4,29,4-10,2-4,0-0,0,3,3,2,0,1,5,1,-38,10,Boston Celtics,Starters,Game 4
Derrick WhiteD. White#9,31,2-8,2-8,0-0,0,4,4,1,0,0,0,2,-29,6,Boston Celtics,Starters,Game 4
Jaylen BrownJ. Brown#7,27,3-12,1-5,3-4,0,1,1,2,0,0,2,3,-28,10,Boston Celtics,Starters,Game 4
Xavier TillmanX. Tillman#26,7,1-2,0-0,1-1,1,0,1,1,0,0,0,1,-13,3,Boston Celtics,Bench,Game 4
Sam HauserS. Hauser#30,20,5-7,4-6,0-0,1,3,4,0,0,0,0,2,-20,14,Boston Celtics,Bench,Game 4
Oshae BrissettO. Brissett#12,15,2-4,1-1,2-2,1,2,3,0,0,1,0,0,-2,7,Boston Celtics,Bench,Game 4
Luke KornetL. Kornet#40,10,0-1,0-0,0-0,0,0,0,2,0,0,0,1,-9,0,Boston Celtics,Bench,Game 4
Neemias QuetaN. Queta#88,5,1-1,0-0,0-0,0,0,0,0,0,1,0,0,7,2,Boston Celtics,Bench,Game 4
Payton PritchardP. Pritchard#11,22,5-14,1-6,0-0,0,3,3,3,0,0,2,2,-6,11,Boston Celtics,Bench,Game 4
Svi MykhailiukS. Mykhailiuk#50,10,1-7,1-5,0-0,0,1,1,0,0,0,0,0,-9,3,Boston Celtics,Bench,Game 4
Jaden SpringerJ. Springer#44,8,0-1,0-0,0-0,0,2,2,0,0,0,0,0,1,0,Boston Celtics,Bench,Game 4
Jordan WalshJ. Walsh#27,5,0-2,0-1,0-0,0,1,1,0,0,0,0,0,7,0,Boston Celtics,Bench,Game 4
Kristaps PorzingisK. Porzingis#8,0,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 4
Team celtics Total,0,29-80,14-41,12-13,4,27,31,18,2,5,13,19,0,84,Boston Celtics,Bench,Game 4
