Player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,Team,Role,Game,date,venue,teams.home.name,scores.home.total,teams.away.name,scores.away.total
P.J. WashingtonP.J. Washington#25,36,5-11,0-3,4-6,3,5,8,1,0,0,0,3,-15,14,Dallas Mavericks,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Derrick Jones Jr.D. Jones Jr.#55,29,2-9,1-2,0-0,2,4,6,0,1,0,0,1,-12,5,Dallas Mavericks,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Daniel GaffordD. Gafford#21,14,3-3,0-0,2-2,3,0,3,1,1,0,0,0,-10,8,Dallas Mavericks,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Kyrie IrvingK. Irving#11,37,6-19,0-5,0-0,0,3,3,2,2,0,3,2,-19,12,Dallas Mavericks,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Luka DoncicL. Doncic#77,38,12-26,4-12,2-5,0,10,10,1,2,0,4,1,-10,30,Dallas Mavericks,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Maxi KleberM. Kleber#42,19,1-1,0-0,0-0,0,0,0,1,0,1,1,2,-15,2,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Tim Hardaway Jr.T. Hardaway Jr.#10,8,0-2,0-1,0-0,0,0,0,0,1,0,0,0,0,0,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Dwight PowellD. Powell#7,5,0-0,0-0,0-0,0,0,0,0,0,0,0,1,7,0,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Dereck Lively IID. Lively II#2,18,1-1,0-0,0-2,1,4,5,1,1,0,2,5,-15,2,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Josh GreenJ. Green#8,20,1-4,1-1,0-0,1,2,3,0,0,0,0,0,-5,3,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Dante ExumD. Exum#0,5,0-0,0-0,0-0,0,2,2,1,0,0,1,0,7,0,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Jaden HardyJ. Hardy#1,11,4-8,1-3,4-4,0,3,3,1,0,0,0,1,-3,13,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Markieff MorrisM. Morris#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Olivier-Maxence ProsperO. Prosper#18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
A.J. LawsonA.J. Lawson#9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Team Maverick Total,0,35-84,7-27,12-19,10,33,43,9,8,1,11,16,0,89,Dallas Mavericks,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Jayson TatumJ. Tatum#0,42,6-16,3-7,1-2,2,9,11,5,0,1,6,1,19,16,Boston Celtics,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Al HorfordA. Horford#42,30,4-8,2-5,0-0,2,5,7,3,0,2,0,0,7,10,Boston Celtics,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Jrue HolidayJ. Holiday#4,35,4-9,2-5,2-2,2,6,8,5,1,0,0,3,20,12,Boston Celtics,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Derrick WhiteD. White#9,35,5-11,3-8,2-2,1,1,2,5,1,0,2,3,3,15,Boston Celtics,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Jaylen BrownJ. Brown#7,37,7-12,2-6,6-11,1,5,6,2,3,3,2,3,12,22,Boston Celtics,Starters,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Sam HauserS. Hauser#30,16,3-4,2-2,0-0,0,4,4,1,0,0,0,2,17,8,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Oshae BrissettO. Brissett#12,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-1,0,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Luke KornetL. Kornet#40,3,1-1,0-0,0-0,1,0,1,0,1,0,0,1,-3,2,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Kristaps PorzingisK. Porzingis#8,21,8-13,2-4,2-2,0,6,6,0,0,3,1,1,13,20,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Payton PritchardP. Pritchard#11,16,0-7,0-5,0-0,1,1,2,2,0,0,1,2,4,0,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Svi MykhailiukS. Mykhailiuk#50,3,1-1,0-0,0-0,0,0,0,0,0,0,0,0,-1,2,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Xavier TillmanX. Tillman#26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Neemias QuetaN. Queta#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Jaden SpringerJ. Springer#44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Jordan WalshJ. Walsh#27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
Team celtics Total,0,39-82,16-42,13-19,10,37,47,23,6,9,12,16,0,107,Boston Celtics,Bench,Game 1,2024-06-07T00:30:00+00:00,TD Garden,Boston Celtics,107,Dallas Mavericks,89
P.J. WashingtonP.J. Washington#25,40,6-13,1-5,4-4,2,5,7,1,0,1,1,3,2,17,Dallas Mavericks,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Derrick Jones Jr.D. Jones Jr.#55,32,4-7,0-3,3-3,2,1,3,2,1,1,1,2,-5,11,Dallas Mavericks,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Daniel GaffordD. Gafford#21,23,6-9,0-0,1-4,2,7,9,0,0,1,0,0,0,13,Dallas Mavericks,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Kyrie IrvingK. Irving#11,41,7-18,0-3,2-2,0,2,2,6,0,0,2,4,-3,16,Dallas Mavericks,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Luka DoncicL. Doncic#77,42,12-21,4-9,4-8,0,11,11,11,4,0,8,1,-3,32,Dallas Mavericks,Starters,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Maxi KleberM. Kleber#42,16,0-4,0-2,0-0,0,2,2,0,0,0,0,4,1,0,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Dereck Lively IID. Lively II#2,19,1-3,0-0,0-0,3,4,7,0,0,0,2,1,-15,2,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Josh GreenJ. Green#8,14,1-4,0-3,2-3,0,1,1,0,0,0,0,2,-10,4,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Dante ExumD. Exum#0,11,1-1,1-1,0-0,0,1,1,1,0,0,1,0,4,3,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Jaden HardyJ. Hardy#1,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-6,0,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
Markieff MorrisM. Morris#88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dallas Mavericks,Bench,Game 2,2024-06-10T00:00:00+00:00,TD Garden,Boston Celtics,105,Dallas Mavericks,98
